板块名称,股票个数
IT服务,5
LED,1
专业工程,2
专用设备,2
中药,4
乘用车,3
传媒,3
保险,1
保险及其他,2
光伏设备,5
光学光电子,2
公路铁路运输,1
其他传媒,1
其他家用轻工,1
其他建材,2
其他生物制品,1
其他电源设备,2
其他白色家电,2
其他纺织,1
军工电子,3
农产品加工,2
农商行,1
分立器件,2
化妆品,2
化学制剂,1
化学制品,3
化学制药,2
化学原料,1
化工合成材料,1
医疗服务,1
医疗研发外包,1
医疗美容,1
医药商业,1
半导体及元件,19
半导体材料,1
半导体设备,1
印制电路板,3
原料药,1
品牌消费电子,2
啤酒,2
国有大型银行,1
国防军工,6
城商行,5
基础建设,3
多元金融,1
家具,1
家用轻工,2
小家电,1
小家电Ⅲ,1
小金属,2
工控设备,1
工程机械,2
广告营销,1
建筑材料,4
建筑装饰,5
数字媒体,1
普钢,1
有机硅,1
机场,1
机场航运,2
氟化工,1
氮肥,1
水泥,1
水电,2
汽车整车,3
汽车零部件,3
油服工程,1
油气开采,2
油气开采及服务,3
消费电子,4
消费电子零部件及组装,2
涤纶,1
港口,1
港口航运,3
游戏,1
火电,3
煤炭开采,4
煤炭开采加工,4
燃气,1
燃气Ⅲ,1
物流,1
特钢,1
玻璃玻纤,1
生物制品,2
电力,5
电力设备,15
电池,5
疫苗,1
白色家电,2
白酒,3
稀土,1
纺织制造,1
美容护理,3
肉制品,1
股份制银行,1
能源金属,1
自动化设备,1
航天装备,1
航海装备,1
航空装备,1
航空运输,1
航运,2
被动元件,1
计算机应用,14
计算机设备,4
证券,12
软件开发,9
软饮料,1
输变电设备,2
通信服务,1
通信线缆及配套,1
通信终端及配件,1
通信设备,2
酒店,1
酒店及餐饮,1
钛白粉,1
钢铁,2
银行,8
集成电路制造,2
集成电路封测,1
集成电路设计,8
非金属材料,1
非金属材料Ⅲ,2
面板,1
风电设备,1
食品加工制造,1
饮料制造,6
饲料,2
高速公路,1
